id,date,store_nbr,family,sales,onpromotion
2988414,2017-08-09,1,AUTOMOTIVE,7.0,0
2988415,2017-08-09,1,BABY CARE,0.0,0
2988416,2017-08-09,1,BEAUTY,4.0,1
2988417,2017-08-09,1,BEVERAGES,2311.0,7
2988418,2017-08-09,1,BOOKS,0.0,0
2988419,2017-08-09,1,BREAD/BAKERY,399.547,9
2988420,2017-08-09,1,CELEBRATION,12.0,0
2988421,2017-08-09,1,CLEANING,651.0,10
2988422,2017-08-09,1,DAIRY,789.0,17
2988423,2017-08-09,1,DELI,123.496,6
2988424,2017-08-09,1,EGGS,134.0,0
2988425,2017-08-09,1,FROZEN FOODS,154.309,0
2988426,2017-08-09,1,GROCERY I,2719.0,46
2988427,2017-08-09,1,GROCERY II,20.0,0
2988428,2017-08-09,1,HARDWARE,3.0,0
2988429,2017-08-09,1,HOME AND KITCHEN I,29.0,1
2988430,2017-08-09,1,HOME AND KITCHEN II,16.0,2
2988431,2017-08-09,1,HOME APPLIANCES,0.0,0
2988432,2017-08-09,1,HOME CARE,161.0,5
2988433,2017-08-09,1,LADIESWEAR,31.0,0
2988434,2017-08-09,1,LAWN AND GARDEN,20.0,6
2988435,2017-08-09,1,LINGERIE,0.0,0
2988436,2017-08-09,1,"LIQUOR,WINE,BEER",99.0,5
2988437,2017-08-09,1,MAGAZINES,2.0,0
2988438,2017-08-09,1,MEATS,373.666,0
2988439,2017-08-09,1,PERSONAL CARE,288.0,11
2988440,2017-08-09,1,PET SUPPLIES,7.0,0
2988441,2017-08-09,1,PLAYERS AND ELECTRONICS,12.0,0
2988442,2017-08-09,1,POULTRY,289.324,0
2988443,2017-08-09,1,PREPARED FOODS,51.189,0
2988444,2017-08-09,1,PRODUCE,3855.684,212
2988445,2017-08-09,1,SCHOOL AND OFFICE SUPPLIES,0.0,0
2988446,2017-08-09,1,SEAFOOD,21.437,0
2988447,2017-08-09,10,AUTOMOTIVE,3.0,0
2988448,2017-08-09,10,BABY CARE,0.0,0
2988449,2017-08-09,10,BEAUTY,0.0,0
2988450,2017-08-09,10,BEVERAGES,1188.0,26
2988451,2017-08-09,10,BOOKS,0.0,0
2988452,2017-08-09,10,BREAD/BAKERY,65.0,4
2988453,2017-08-09,10,CELEBRATION,2.0,0
2988454,2017-08-09,10,CLEANING,695.0,14
2988455,2017-08-09,10,DAIRY,462.0,72
2988456,2017-08-09,10,DELI,274.0,4
2988457,2017-08-09,10,EGGS,72.0,1
2988458,2017-08-09,10,FROZEN FOODS,29.0,1
2988459,2017-08-09,10,GROCERY I,2478.0,61
2988460,2017-08-09,10,GROCERY II,2.0,0
2988461,2017-08-09,10,HARDWARE,0.0,0
2988462,2017-08-09,10,HOME AND KITCHEN I,7.0,0
2988463,2017-08-09,10,HOME AND KITCHEN II,7.0,1
2988464,2017-08-09,10,HOME APPLIANCES,0.0,0
2988465,2017-08-09,10,HOME CARE,128.0,7
2988466,2017-08-09,10,LADIESWEAR,4.0,0
2988467,2017-08-09,10,LAWN AND GARDEN,0.0,0
2988468,2017-08-09,10,LINGERIE,2.0,0
2988469,2017-08-09,10,"LIQUOR,WINE,BEER",21.0,1
2988470,2017-08-09,10,MAGAZINES,0.0,0
2988471,2017-08-09,10,MEATS,186.801,0
2988472,2017-08-09,10,PERSONAL CARE,141.0,10
2988473,2017-08-09,10,PET SUPPLIES,0.0,0
2988474,2017-08-09,10,PLAYERS AND ELECTRONICS,2.0,0
2988475,2017-08-09,10,POULTRY,119.395996,1
2988476,2017-08-09,10,PREPARED FOODS,19.0,0
2988477,2017-08-09,10,PRODUCE,168.519,5
2988478,2017-08-09,10,SCHOOL AND OFFICE SUPPLIES,0.0,0
2988479,2017-08-09,10,SEAFOOD,1.0,0
2988480,2017-08-09,11,AUTOMOTIVE,2.0,0
2988481,2017-08-09,11,BABY CARE,0.0,0
2988482,2017-08-09,11,BEAUTY,1.0,1
2988483,2017-08-09,11,BEVERAGES,4055.0,32
2988484,2017-08-09,11,BOOKS,0.0,0
2988485,2017-08-09,11,BREAD/BAKERY,472.0,9
2988486,2017-08-09,11,CELEBRATION,15.0,0
2988487,2017-08-09,11,CLEANING,1724.0,21
2988488,2017-08-09,11,DAIRY,626.0,117
2988489,2017-08-09,11,DELI,473.384,7
2988490,2017-08-09,11,EGGS,177.0,2
2988491,2017-08-09,11,FROZEN FOODS,78.0,1
2988492,2017-08-09,11,GROCERY I,6744.867,72
2988493,2017-08-09,11,GROCERY II,14.0,0
2988494,2017-08-09,11,HARDWARE,1.0,0
2988495,2017-08-09,11,HOME AND KITCHEN I,43.0,1
2988496,2017-08-09,11,HOME AND KITCHEN II,16.0,1
2988497,2017-08-09,11,HOME APPLIANCES,0.0,0
2988498,2017-08-09,11,HOME CARE,535.0,10
2988499,2017-08-09,11,LADIESWEAR,5.0,0
2988500,2017-08-09,11,LAWN AND GARDEN,0.0,0
2988501,2017-08-09,11,LINGERIE,14.0,0
2988502,2017-08-09,11,"LIQUOR,WINE,BEER",23.0,2
2988503,2017-08-09,11,MAGAZINES,1.0,0
2988504,2017-08-09,11,MEATS,691.098,0
2988505,2017-08-09,11,PERSONAL CARE,410.0,12
2988506,2017-08-09,11,PET SUPPLIES,1.0,0
2988507,2017-08-09,11,PLAYERS AND ELECTRONICS,11.0,0
2988508,2017-08-09,11,POULTRY,434.008,0
2988509,2017-08-09,11,PREPARED FOODS,110.466,0
2988510,2017-08-09,11,PRODUCE,1082.373,9
2988511,2017-08-09,11,SCHOOL AND OFFICE SUPPLIES,40.0,6
2988512,2017-08-09,11,SEAFOOD,13.0,0
2988513,2017-08-09,12,AUTOMOTIVE,3.0,0
2988514,2017-08-09,12,BABY CARE,0.0,0
2988515,2017-08-09,12,BEAUTY,1.0,0
2988516,2017-08-09,12,BEVERAGES,1367.0,20
2988517,2017-08-09,12,BOOKS,0.0,0
2988518,2017-08-09,12,BREAD/BAKERY,181.0,9
2988519,2017-08-09,12,CELEBRATION,2.0,0
2988520,2017-08-09,12,CLEANING,812.0,17
2988521,2017-08-09,12,DAIRY,366.0,93
2988522,2017-08-09,12,DELI,186.0,6
2988523,2017-08-09,12,EGGS,38.0,1
2988524,2017-08-09,12,FROZEN FOODS,38.0,1
2988525,2017-08-09,12,GROCERY I,2774.0,53
2988526,2017-08-09,12,GROCERY II,3.0,0
2988527,2017-08-09,12,HARDWARE,0.0,0
2988528,2017-08-09,12,HOME AND KITCHEN I,11.0,0
2988529,2017-08-09,12,HOME AND KITCHEN II,19.0,0
2988530,2017-08-09,12,HOME APPLIANCES,0.0,0
2988531,2017-08-09,12,HOME CARE,165.0,8
2988532,2017-08-09,12,LADIESWEAR,11.0,0
2988533,2017-08-09,12,LAWN AND GARDEN,0.0,0
2988534,2017-08-09,12,LINGERIE,2.0,2
2988535,2017-08-09,12,"LIQUOR,WINE,BEER",27.0,2
2988536,2017-08-09,12,MAGAZINES,2.0,0
2988537,2017-08-09,12,MEATS,112.992004,0
2988538,2017-08-09,12,PERSONAL CARE,181.0,8
2988539,2017-08-09,12,PET SUPPLIES,0.0,0
2988540,2017-08-09,12,PLAYERS AND ELECTRONICS,4.0,0
2988541,2017-08-09,12,POULTRY,136.282,1
2988542,2017-08-09,12,PREPARED FOODS,32.0,1
2988543,2017-08-09,12,PRODUCE,295.779,3
2988544,2017-08-09,12,SCHOOL AND OFFICE SUPPLIES,20.0,5
2988545,2017-08-09,12,SEAFOOD,2.0,0
2988546,2017-08-09,13,AUTOMOTIVE,6.0,0
2988547,2017-08-09,13,BABY CARE,0.0,0
2988548,2017-08-09,13,BEAUTY,4.0,1
2988549,2017-08-09,13,BEVERAGES,1343.0,18
2988550,2017-08-09,13,BOOKS,0.0,0
2988551,2017-08-09,13,BREAD/BAKERY,75.0,6
2988552,2017-08-09,13,CELEBRATION,2.0,0
2988553,2017-08-09,13,CLEANING,676.0,16
2988554,2017-08-09,13,DAIRY,251.0,82
2988555,2017-08-09,13,DELI,142.0,5
2988556,2017-08-09,13,EGGS,42.0,1
2988557,2017-08-09,13,FROZEN FOODS,35.0,0
2988558,2017-08-09,13,GROCERY I,2371.0,51
2988559,2017-08-09,13,GROCERY II,25.0,0
2988560,2017-08-09,13,HARDWARE,1.0,0
2988561,2017-08-09,13,HOME AND KITCHEN I,6.0,1
2988562,2017-08-09,13,HOME AND KITCHEN II,6.0,1
2988563,2017-08-09,13,HOME APPLIANCES,0.0,0
2988564,2017-08-09,13,HOME CARE,125.0,7
2988565,2017-08-09,13,LADIESWEAR,0.0,0
2988566,2017-08-09,13,LAWN AND GARDEN,0.0,0
2988567,2017-08-09,13,LINGERIE,1.0,0
2988568,2017-08-09,13,"LIQUOR,WINE,BEER",43.0,1
2988569,2017-08-09,13,MAGAZINES,4.0,0
2988570,2017-08-09,13,MEATS,48.937,0
2988571,2017-08-09,13,PERSONAL CARE,222.0,8
2988572,2017-08-09,13,PET SUPPLIES,0.0,0
2988573,2017-08-09,13,PLAYERS AND ELECTRONICS,2.0,0
2988574,2017-08-09,13,POULTRY,52.939,0
2988575,2017-08-09,13,PREPARED FOODS,17.0,1
2988576,2017-08-09,13,PRODUCE,132.879,2
2988577,2017-08-09,13,SCHOOL AND OFFICE SUPPLIES,0.0,0
2988578,2017-08-09,13,SEAFOOD,2.0,0
2988579,2017-08-09,14,AUTOMOTIVE,3.0,0
2988580,2017-08-09,14,BABY CARE,0.0,0
2988581,2017-08-09,14,BEAUTY,2.0,1
2988582,2017-08-09,14,BEVERAGES,1377.0,22
2988583,2017-08-09,14,BOOKS,0.0,0
2988584,2017-08-09,14,BREAD/BAKERY,146.0,7
2988585,2017-08-09,14,CELEBRATION,4.0,0
2988586,2017-08-09,14,CLEANING,823.0,14
2988587,2017-08-09,14,DAIRY,445.0,83
2988588,2017-08-09,14,DELI,280.0,2
2988589,2017-08-09,14,EGGS,14.0,1
2988590,2017-08-09,14,FROZEN FOODS,25.0,0
2988591,2017-08-09,14,GROCERY I,2400.0,56
2988592,2017-08-09,14,GROCERY II,1.0,0
2988593,2017-08-09,14,HARDWARE,0.0,0
2988594,2017-08-09,14,HOME AND KITCHEN I,9.0,0
2988595,2017-08-09,14,HOME AND KITCHEN II,10.0,1
2988596,2017-08-09,14,HOME APPLIANCES,0.0,0
2988597,2017-08-09,14,HOME CARE,200.0,9
2988598,2017-08-09,14,LADIESWEAR,3.0,0
2988599,2017-08-09,14,LAWN AND GARDEN,0.0,0
2988600,2017-08-09,14,LINGERIE,2.0,0
2988601,2017-08-09,14,"LIQUOR,WINE,BEER",14.0,1
2988602,2017-08-09,14,MAGAZINES,2.0,0
2988603,2017-08-09,14,MEATS,132.048,0
2988604,2017-08-09,14,PERSONAL CARE,264.0,8
2988605,2017-08-09,14,PET SUPPLIES,1.0,0
2988606,2017-08-09,14,PLAYERS AND ELECTRONICS,3.0,0
2988607,2017-08-09,14,POULTRY,43.655,0
2988608,2017-08-09,14,PREPARED FOODS,73.0,1
2988609,2017-08-09,14,PRODUCE,285.639,3
2988610,2017-08-09,14,SCHOOL AND OFFICE SUPPLIES,4.0,2
2988611,2017-08-09,14,SEAFOOD,6.0,0
2988612,2017-08-09,15,AUTOMOTIVE,3.0,0
2988613,2017-08-09,15,BABY CARE,1.0,0
2988614,2017-08-09,15,BEAUTY,2.0,0
2988615,2017-08-09,15,BEVERAGES,1469.0,29
2988616,2017-08-09,15,BOOKS,0.0,0
2988617,2017-08-09,15,BREAD/BAKERY,145.0,7
2988618,2017-08-09,15,CELEBRATION,7.0,0
2988619,2017-08-09,15,CLEANING,750.0,17
2988620,2017-08-09,15,DAIRY,359.0,91
2988621,2017-08-09,15,DELI,175.0,5
2988622,2017-08-09,15,EGGS,103.0,3
2988623,2017-08-09,15,FROZEN FOODS,54.0,0
2988624,2017-08-09,15,GROCERY I,2590.0,65
2988625,2017-08-09,15,GROCERY II,10.0,0
2988626,2017-08-09,15,HARDWARE,1.0,0
2988627,2017-08-09,15,HOME AND KITCHEN I,13.0,0
2988628,2017-08-09,15,HOME AND KITCHEN II,25.0,0
2988629,2017-08-09,15,HOME APPLIANCES,0.0,0
2988630,2017-08-09,15,HOME CARE,209.0,8
2988631,2017-08-09,15,LADIESWEAR,5.0,0
2988632,2017-08-09,15,LAWN AND GARDEN,0.0,0
2988633,2017-08-09,15,LINGERIE,1.0,0
2988634,2017-08-09,15,"LIQUOR,WINE,BEER",22.0,1
2988635,2017-08-09,15,MAGAZINES,1.0,0
2988636,2017-08-09,15,MEATS,108.08,0
2988637,2017-08-09,15,PERSONAL CARE,198.0,6
2988638,2017-08-09,15,PET SUPPLIES,0.0,0
2988639,2017-08-09,15,PLAYERS AND ELECTRONICS,4.0,0
2988640,2017-08-09,15,POULTRY,78.226,0
2988641,2017-08-09,15,PREPARED FOODS,44.0,1
2988642,2017-08-09,15,PRODUCE,506.084,5
2988643,2017-08-09,15,SCHOOL AND OFFICE SUPPLIES,8.0,3
2988644,2017-08-09,15,SEAFOOD,9.0,0
2988645,2017-08-09,16,AUTOMOTIVE,2.0,0
2988646,2017-08-09,16,BABY CARE,0.0,0
2988647,2017-08-09,16,BEAUTY,0.0,0
2988648,2017-08-09,16,BEVERAGES,1038.0,24
2988649,2017-08-09,16,BOOKS,0.0,0
2988650,2017-08-09,16,BREAD/BAKERY,116.0,7
2988651,2017-08-09,16,CELEBRATION,6.0,0
2988652,2017-08-09,16,CLEANING,543.0,15
2988653,2017-08-09,16,DAIRY,238.0,72
2988654,2017-08-09,16,DELI,100.0,3
2988655,2017-08-09,16,EGGS,89.0,1
2988656,2017-08-09,16,FROZEN FOODS,25.0,0
2988657,2017-08-09,16,GROCERY I,1779.0,46
2988658,2017-08-09,16,GROCERY II,4.0,0
2988659,2017-08-09,16,HARDWARE,0.0,0
2988660,2017-08-09,16,HOME AND KITCHEN I,11.0,0
2988661,2017-08-09,16,HOME AND KITCHEN II,9.0,0
2988662,2017-08-09,16,HOME APPLIANCES,0.0,0
2988663,2017-08-09,16,HOME CARE,120.0,4
2988664,2017-08-09,16,LADIESWEAR,0.0,0
2988665,2017-08-09,16,LAWN AND GARDEN,0.0,0
2988666,2017-08-09,16,LINGERIE,2.0,0
2988667,2017-08-09,16,"LIQUOR,WINE,BEER",22.0,3
2988668,2017-08-09,16,MAGAZINES,0.0,0
2988669,2017-08-09,16,MEATS,41.286,0
2988670,2017-08-09,16,PERSONAL CARE,106.0,7
2988671,2017-08-09,16,PET SUPPLIES,1.0,0
2988672,2017-08-09,16,PLAYERS AND ELECTRONICS,5.0,0
2988673,2017-08-09,16,POULTRY,60.762,0
2988674,2017-08-09,16,PREPARED FOODS,35.0,0
2988675,2017-08-09,16,PRODUCE,344.264,5
2988676,2017-08-09,16,SCHOOL AND OFFICE SUPPLIES,0.0,0
2988677,2017-08-09,16,SEAFOOD,1.0,0
2988678,2017-08-09,17,AUTOMOTIVE,6.0,0
2988679,2017-08-09,17,BABY CARE,0.0,0
2988680,2017-08-09,17,BEAUTY,1.0,1
2988681,2017-08-09,17,BEVERAGES,2020.0,21
2988682,2017-08-09,17,BOOKS,0.0,0
2988683,2017-08-09,17,BREAD/BAKERY,268.0,4
2988684,2017-08-09,17,CELEBRATION,2.0,0
2988685,2017-08-09,17,CLEANING,906.0,13
2988686,2017-08-09,17,DAIRY,1177.0,131
2988687,2017-08-09,17,DELI,421.0,7
2988688,2017-08-09,17,EGGS,133.0,1
2988689,2017-08-09,17,FROZEN FOODS,72.0,1
2988690,2017-08-09,17,GROCERY I,3469.0,58
2988691,2017-08-09,17,GROCERY II,12.0,0
2988692,2017-08-09,17,HARDWARE,0.0,0
2988693,2017-08-09,17,HOME AND KITCHEN I,22.0,1
2988694,2017-08-09,17,HOME AND KITCHEN II,21.0,1
2988695,2017-08-09,17,HOME APPLIANCES,0.0,0
2988696,2017-08-09,17,HOME CARE,203.0,7
2988697,2017-08-09,17,LADIESWEAR,0.0,0
2988698,2017-08-09,17,LAWN AND GARDEN,0.0,0
2988699,2017-08-09,17,LINGERIE,3.0,0
2988700,2017-08-09,17,"LIQUOR,WINE,BEER",22.0,2
2988701,2017-08-09,17,MAGAZINES,6.0,0
2988702,2017-08-09,17,MEATS,220.233,0
2988703,2017-08-09,17,PERSONAL CARE,188.0,7
2988704,2017-08-09,17,PET SUPPLIES,5.0,0
2988705,2017-08-09,17,PLAYERS AND ELECTRONICS,13.0,0
2988706,2017-08-09,17,POULTRY,260.253,0
2988707,2017-08-09,17,PREPARED FOODS,61.0,0
2988708,2017-08-09,17,PRODUCE,1045.323,2
2988709,2017-08-09,17,SCHOOL AND OFFICE SUPPLIES,0.0,0
2988710,2017-08-09,17,SEAFOOD,7.0,0
2988711,2017-08-09,18,AUTOMOTIVE,2.0,0
2988712,2017-08-09,18,BABY CARE,0.0,0
2988713,2017-08-09,18,BEAUTY,2.0,2
